time,breath,heart,distance
58614,19.00,76.00,34.44
59314,19.00,75.00,34.44
59914,19.00,73.00,34.44
60518,20.00,71.00,34.44
61118,20.00,69.00,34.44
61718,20.00,70.00,34.44
62322,20.00,72.00,34.44
62922,21.00,75.00,34.44
63722,23.00,77.00,40.18
64222,24.00,80.00,40.18
64827,22.00,84.00,40.18
65427,20.00,86.00,40.18
66027,19.00,89.00,40.18
66631,18.00,92.00,40.18
67331,18.00,95.00,40.18
67931,15.00,97.00,40.18
68535,12.00,100.00,40.18
69135,9.00,101.00,40.18
69735,10.00,103.00,40.18
70339,11.00,105.00,40.18
70939,12.00,106.00,40.18
71539,12.00,105.00,40.18
72139,13.00,105.00,40.18
72743,15.00,102.00,40.18
73543,16.00,101.00,45.92
74043,16.00,101.00,45.92
74647,17.00,101.00,45.92
75247,17.00,101.00,45.92
75847,18.00,101.00,51.66
76551,19.00,98.00,63.14
77151,20.00,96.00,68.88
77751,21.00,94.00,68.88
78355,21.00,92.00,74.62
79055,22.00,89.00,74.62
79655,22.00,88.00,74.62
80255,22.00,86.00,68.88
80960,21.00,84.00,68.88
81560,20.00,83.00,68.88
82160,19.00,83.00,68.88
82764,18.00,82.00,63.14
83564,17.00,82.00,68.88
84064,16.00,84.00,68.88
84668,16.00,85.00,68.88
85268,17.00,85.00,74.62
85868,13.00,86.00,74.62
86572,10.00,87.00,80.36
87172,11.00,87.00,80.36
87772,14.00,87.00,80.36
88376,17.00,88.00,80.36
89176,20.00,89.00,80.36
89676,22.00,91.00,80.36
90276,19.00,94.00,80.36
90881,19.00,94.00,80.36
91681,22.00,95.00,74.62
92181,22.00,94.00,68.88
92785,22.00,94.00,74.62
93385,23.00,94.00,80.36
93985,22.00,94.00,86.10
94689,21.00,91.00,86.10
95289,21.00,89.00,86.10
95889,21.00,86.00,86.10
96693,21.00,84.00,86.10
97193,21.00,83.00,86.10
97793,21.00,82.00,86.10
98397,20.00,81.00,91.84
99197,20.00,80.00,86.10
99697,21.00,78.00,86.10
100297,21.00,77.00,86.10
101002,20.00,76.00,74.62
101602,20.00,75.00,68.88
102202,20.00,75.00,74.62
102806,21.00,75.00,74.62
103606,18.00,77.00,74.62
104106,14.00,80.00,74.62
104710,14.00,84.00,63.14
105310,15.00,88.00,51.66
106010,16.00,93.00,45.92
106614,16.00,96.00,45.92
107414,14.00,100.00,40.18
107914,13.00,101.00,34.44
108518,13.00,102.00,34.44
109118,13.00,103.00,28.70
109918,14.00,103.00,28.70
110422,14.00,103.00,28.70
111022,15.00,103.00,28.70
111622,16.00,103.00,28.70
112222,17.00,103.00,28.70
112826,17.00,103.00,28.70
113426,17.00,104.00,28.70
114026,17.00,103.00,28.70
114630,17.00,103.00,28.70
115230,18.00,103.00,28.70
115830,15.00,103.00,28.70
116434,12.00,102.00,28.70
117034,9.00,100.00,28.70
117634,7.00,96.00,28.70
118234,5.00,94.00,28.70
118838,4.00,95.00,28.70
119438,3.00,96.00,28.70
120038,3.00,99.00,28.70
120642,2.00,101.00,28.70
121242,2.00,104.00,28.70
121842,1.00,107.00,28.70
122446,1.00,108.00,28.70
123046,1.00,110.00,28.70
123646,1.00,112.00,28.70
124246,0.00,107.00,28.70
124850,0.00,102.00,28.70
125450,0.00,97.00,28.70
126050,0.00,92.00,28.70
126654,0.00,88.00,28.70
127254,0.00,85.00,28.70
127454,0.00,0.00,28.70
131762,0.00,81.00,22.96
132362,0.00,0.00,17.22
138274,0.00,79.00,45.92
138878,0.00,76.00,45.92
139478,0.00,74.00,45.92
140078,0.00,74.00,40.18
140782,3.00,74.00,34.44
141382,8.00,74.00,34.44
141982,12.00,74.00,34.44
142586,16.00,75.00,34.44
143286,20.00,76.00,40.18
